문항번호코드,문항설명
QSITM_NO_CD,QSITM_DSCRT
Q1-1,"귀하는 평소 집이나 직장 근처의 삼림(공원, 녹지, 도시숲 등)을 '일상적인' 산책이나 운동 등을 하기 위해 평균적으로 얼마나 자주 이용하십니까?"
Q1-1-1,"지난 1년 간 산림(공원, 녹지, 도시숲 등)을 방문하지 않은 이유는 무엇입니까? 가장 큰 이유 순으로 두 가지만 말씀해 주시기 바랍니다."
Q1-1-2,"지난 1년 간 산림(공원, 녹지, 도시숲 등)을 방문하지 않은 이유는 무엇입니까? 가장 큰 이유 순으로 두 가지만 말씀해 주시기 바랍니다."
Q1-2,귀하의 댁에서 평소 자주 방문하는 산림(숲)까지 이동할 때 가장 많이 이용하는 교통수단은 무엇입니까?
Q1-3,귀하의 댁에서 평소 자주 방문하시는 산림(숲)까지 이동할 때 이동하는 데 걸리는 시간은 어느 정도입니까? 편도 기준으로 말씀해 주시기 바랍니다.
Q1-4,귀하께서는 평소에 산이나 숲을 방문하셔서 어떤 활동을 하십니까? 해당하는 활동을 모두 말씀해 주시기 바랍니다.
Q1-5,귀하는 일상형 산림휴양·복지활동을 주로 누구와 함께 하였습니까?
Q1-6,귀하는 일상형 산림휴양·복지활동의 주된 목적은 무엇입니까?
Q1-7,귀하는 주로 언제 이런 일상형 산림휴양·복지활동을 하였습니까?
Q1-8,귀하는 주로 어떤 경로를 통해 참여하였습니까?
Q1-9,귀하는 일상형 산림휴양·복지활동에 얼마나 만족하셨습니까?
Q1-10,평소 산림휴양·복지에 대한 귀하의 생각과 가장 가까운 태도는 무엇입니까?
Q2,"아래 에 제시한 산림휴양·복지활동 중 지난 1년 동안(2018년 7월 1일 ~ 2019년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 산림(숲, 공원, 녹지 등)에서 참여한 활동을 모두 말씀해 주십시오."
Q2-1-1,"지난 1년 동안(2018년 7월 1일~2019년 6월 30일) 참여하셨던 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 산림(숲, 공원, 녹지 등)에서 참여한 활동을 주된 순서대로 모두 말씀해 주시기 바랍니다."
Q2-1-2,"지난 1년 동안(2018년 7월 1일~2019년 6월 30일) 참여하셨던 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 산림(숲, 공원, 녹지 등)에서 참여한 활동을 주된 순서대로 모두 말씀해 주시기 바랍니다."
Q2-1-2-1A,활동 계절
Q2-1-2-2A,활동 주간
Q2-1-3-1A,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-2A,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-3A,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-4A,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-4A,@@BB을/를 선택하신 가장 큰 이유는 무엇입니까?
Q2-1-6-2A,숙박 일정
Q2-1-7A,@@AA @@BB을/를 하실 때 숙박하신 곳은 어떤 시설입니까?
Q2-1-8A,@@AA @@BB을/를 하실 때 이동하는 데 걸린 시간은 평균적으로 어느 정도였습니까?
Q2-1-9A,@@AA @@BB을/를 하실 때 주로 어떤 교통수단을 사용하셨습니까?
Q2-1-10A,@@AA @@BB을/를 하실 때 주로 함께한 사람은 누구입니까?
Q2-1-11A,"@@AA @@BB을/를 하실 때, 평균적으로 몇 명이 함께 참여하였습니까? 본인을 포함하여 말씀해 주시기 바랍니다."
Q2-1-12A,@@AA @@BB을/를 하신 주된 목적은 무엇입니까?
Q2-1-13A,@@AA @@BB에 주로 어떤 경로를 통해 참여하였습니까?
Q2-1-14-1A,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-14-2A,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-15A,@@AA @@BB에 어느 정도로 만족하십니까?
Q2-1-2-1B,활동 계절 - 당일형
Q2-1-2-2B,활동 주간 - 당일형
Q2-1-3-1B,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-2B,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-3B,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-4B,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-4B,@@BB을/를 선택하신 가장 큰 이유는 무엇입니까?
Q2-1-5B,당일 일정 활동 횟수 - 당일형
Q2-1-8B,@@AA @@BB을/를 하실 때 이동하는 데 걸린 시간은 평균적으로 어느 정도였습니까?
Q2-1-9B,@@AA @@BB을/를 하실 때 주로 어떤 교통수단을 사용하셨습니까?
Q2-1-10B,@@AA @@BB을/를 하실 때 주로 함께한 사람은 누구입니까?
Q2-1-11B,"@@AA @@BB을/를 하실 때, 평균적으로 몇 명이 함께 참여하였습니까? 본인을 포함하여 말씀해 주시기 바랍니다."
Q2-1-12B,@@AA @@BB을/를 하신 주된 목적은 무엇입니까?
Q2-1-13B,@@AA @@BB에 주로 어떤 경로를 통해 참여하였습니까?
Q2-1-14-1B,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-14-2B,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-15B,@@AA @@BB에 어느 정도로 만족하십니까?
Q2-1-2-1C,활동 계절 - 숙박형
Q2-1-2-2C,활동 주간 - 숙박형
Q2-1-3-1C,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-2C,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-3C,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-3-4C,@@AA @@BB을/를 하기 위해 방문한 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q2-1-4C,@@BB을/를 선택하신 가장 큰 이유는 무엇입니까?
Q2-1-6-1C,숙박 일정 활동 횟수 - 숙박형
Q2-1-6-2C,숙박 일정 - 숙박형
Q2-1-7C,@@AA @@BB을/를 하실 때 숙박하신 곳은 어떤 시설입니까?
Q2-1-8C,@@AA @@BB을/를 하실 때 이동하는 데 걸린 시간은 평균적으로 어느 정도였습니까?
Q2-1-9C,@@AA @@BB을/를 하실 때 주로 어떤 교통수단을 사용하셨습니까?
Q2-1-10C,@@AA @@BB을/를 하실 때 주로 함께한 사람은 누구입니까?
Q2-1-11C,"@@AA @@BB을/를 하실 때, 평균적으로 몇 명이 함께 참여하였습니까? 본인을 포함하여 말씀해 주시기 바랍니다."
Q2-1-12C,@@AA @@BB을/를 하신 주된 목적은 무엇입니까?
Q2-1-13C,@@AA @@BB에 주로 어떤 경로를 통해 참여하였습니까?
Q2-1-14-1C,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-14-2C,"@@AA @@BB에 참여하실 때, 1회 기준으로 평균 어느 정도의 비용이 들었습니까?"
Q2-1-15C,@@AA @@BB에 어느 정도로 만족하십니까?
Q3,다음 에 제시한 산림휴양·복지활동 중 앞으로 1년 동안(2019년 7월 1일 ~ 2020년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 참여하고 싶은 활동을 모두 말씀해주십시오.
Q3-1-1,앞으로 1년 동안(2019년 7월 1일 ~ 2020년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 참여하고 싶은 활동을 주된 순서대로 모두 말씀해 주시기 바랍니다.
Q3-1-2,앞으로 1년 동안(2019년 7월 1일 ~ 2020년 6월 30일) 당일(4시간 이상) 또는 숙박(1박 이상) 일정으로 참여하고 싶은 활동을 주된 순서대로 모두 말씀해 주시기 바랍니다.
Q3-1-4-1A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-2A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-3A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-4A,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-5A,@@CC을/를 선택하신 가장 큰 이유는 무엇입니까?
Q3-1-6A,@@AA @@BB을/를 하고 싶은 주된 목적은 무엇입니까?
Q3-1-2B,당일 일정 활동 희망 횟수 - 당일형
Q3-1-4-1B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-2B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-3B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-4B,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-5B,@@CC을/를 선택하신 가장 큰 이유는 무엇입니까?
Q3-1-6B,@@AA @@BB을/를 하고 싶은 주된 목적은 무엇입니까?
Q3-1-3-1C,숙박 일정 활동 희망 횟수 - 숙박형
Q3-1-3-2C,숙박 희망 일정 - 숙박형
Q3-1-4-1C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-2C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-3C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-4-4C,@@AA @@BB을/를 하기 위해 방문하고 싶은 지역은 어디입니까? 시군구 단위까지 말씀해 주시기 바랍니다.
Q3-1-5C,@@CC을/를 선택하신 가장 큰 이유는 무엇입니까?
Q3-1-6C,@@AA @@BB을/를 하고 싶은 주된 목적은 무엇입니까?
Q4A-1,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-2,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-3,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-4,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-5,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-6,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-7,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-8,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-9,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-10,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-11,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-12,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-13,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-14,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-15,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-16,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-17,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-18,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-19,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-20,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-21,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-22,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-23,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4A-24,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4B-1,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
